votes	first	second	third
3	EDMUND BERNARD BRUYERE	JACKIE CHERRYHOMES	DON SAMUELS
3	EDMUND BERNARD BRUYERE	EDMUND BERNARD BRUYERE	EDMUND BERNARD BRUYERE
3	DOUG MANN	TONY LANE	MARK ANDREW
3	DOUG MANN	TONY LANE	KURTIS W. HANNA
3	DOUG MANN	TONY LANE	JAYMIE KELLY
3	DOUG MANN	TONY LANE	JAMES EVERETT
3	DOUG MANN	TONY LANE	CAPTAIN JACK SPARROW
3	DOUG MANN	STEPHANIE WOODRUFF	BOB FINE
3	DOUG MANN	MARK ANDREW	undervote
3	DOUG MANN	MARK ANDREW	STEPHANIE WOODRUFF
3	DOUG MANN	MARK ANDREW	JAMES EVERETT
3	DOUG MANN	KURTIS W. HANNA	CAPTAIN JACK SPARROW
3	DOUG MANN	KURTIS W. HANNA	BETSY HODGES
3	DOUG MANN	JAYMIE KELLY	KURTIS W. HANNA
3	DOUG MANN	JAYMIE KELLY	JOHN CHARLES WILSON
3	DOUG MANN	JAYMIE KELLY	JAMES EVERETT
3	DOUG MANN	JAYMIE KELLY	CAPTAIN JACK SPARROW
3	DOUG MANN	JAMES EVERETT	STEPHANIE WOODRUFF
3	DOUG MANN	JAMES EVERETT	RAHN V. WORKCUFF
3	DOUG MANN	JAMES EVERETT	JOSHUA REA
3	DOUG MANN	JAMES EVERETT	JACKIE CHERRYHOMES
3	DOUG MANN	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
3	DOUG MANN	JACKIE CHERRYHOMES	MARK ANDREW
3	DOUG MANN	JACKIE CHERRYHOMES	DON SAMUELS
3	DOUG MANN	DOUG MANN	DOUG MANN
3	DOUG MANN	DON SAMUELS	MARK ANDREW
3	DOUG MANN	CAM WINTON	BETSY HODGES
3	DOUG MANN	BOB FINE	MARK ANDREW
3	DOUG MANN	BETSY HODGES	ALICIA K. BENNETT
3	DOUG MANN	ALICIA K. BENNETT	MARK ANDREW
3	DON SAMUELS	overvote	overvote
3	DON SAMUELS	overvote	BETSY HODGES
3	DON SAMUELS	TONY LANE	BETSY HODGES
3	DON SAMUELS	STEPHANIE WOODRUFF	MIKE GOULD
3	DON SAMUELS	STEPHANIE WOODRUFF	MARK V ANDERSON
3	DON SAMUELS	STEPHANIE WOODRUFF	JAMES EVERETT
3	DON SAMUELS	STEPHANIE WOODRUFF	CAPTAIN JACK SPARROW
3	DON SAMUELS	OLE SAVIOR	undervote
3	DON SAMUELS	NEAL BAXTER	JACKIE CHERRYHOMES
3	DON SAMUELS	MARK V ANDERSON	CAPTAIN JACK SPARROW
3	DON SAMUELS	MARK V ANDERSON	CAM WINTON
3	DON SAMUELS	MARK ANDREW	TROY BENJEGERDES
3	DON SAMUELS	MARK ANDREW	MARK V ANDERSON
3	DON SAMUELS	MARK ANDREW	DON SAMUELS
3	DON SAMUELS	MARK ANDREW	CYD GORMAN
3	DON SAMUELS	MARK ANDREW	CHRISTOPHER CLARK
3	DON SAMUELS	JEFFREY ALAN WAGNER	BETSY HODGES
3	DON SAMUELS	JAYMIE KELLY	JOSHUA REA
3	DON SAMUELS	JAMES EVERETT	TONY LANE
3	DON SAMUELS	JACKIE CHERRYHOMES	NEAL BAXTER
3	DON SAMUELS	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES
3	DON SAMUELS	JACKIE CHERRYHOMES	BILL KAHN
3	DON SAMUELS	DOUG MANN	JAMES EVERETT
3	DON SAMUELS	DON SAMUELS	STEPHANIE WOODRUFF
3	DON SAMUELS	DON SAMUELS	JACKIE CHERRYHOMES
3	DON SAMUELS	DAN COHEN	STEPHANIE WOODRUFF
3	DON SAMUELS	DAN COHEN	JAYMIE KELLY
3	DON SAMUELS	DAN COHEN	CYD GORMAN
3	DON SAMUELS	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN
3	DON SAMUELS	CAPTAIN JACK SPARROW	DAN COHEN
3	DON SAMUELS	CAM WINTON	MERRILL ANDERSON
3	DON SAMUELS	CAM WINTON	JAYMIE KELLY
3	DON SAMUELS	CAM WINTON	CHRISTOPHER CLARK
3	DON SAMUELS	BOB FINE	BOB FINE
3	DON SAMUELS	BETSY HODGES	overvote
3	DON SAMUELS	BETSY HODGES	CYD GORMAN
3	DON SAMUELS	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
3	DON SAMUELS	ALICIA K. BENNETT	STEPHANIE WOODRUFF
3	DON SAMUELS	ALICIA K. BENNETT	MARK ANDREW
3	DON SAMUELS	ALICIA K. BENNETT	DOUG MANN
3	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
3	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	JACKIE CHERRYHOMES
3	DAN COHEN	OLE SAVIOR	MERRILL ANDERSON
3	DAN COHEN	NEAL BAXTER	OLE SAVIOR
3	DAN COHEN	MARK V ANDERSON	OLE SAVIOR
3	DAN COHEN	MARK V ANDERSON	MERRILL ANDERSON
3	DAN COHEN	MARK V ANDERSON	DON SAMUELS
3	DAN COHEN	MARK ANDREW	STEPHANIE WOODRUFF
3	DAN COHEN	MARK ANDREW	MARK V ANDERSON
3	DAN COHEN	JOHN LESLIE HARTWIG	NEAL BAXTER
3	DAN COHEN	JAYMIE KELLY	MARK ANDREW
3	DAN COHEN	JAMES EVERETT	CAPTAIN JACK SPARROW
3	DAN COHEN	DOUG MANN	TONY LANE
3	DAN COHEN	DOUG MANN	DON SAMUELS
3	DAN COHEN	DOUG MANN	CAM WINTON
3	DAN COHEN	DON SAMUELS	MIKE GOULD
3	DAN COHEN	DON SAMUELS	MARK V ANDERSON
3	DAN COHEN	DON SAMUELS	JOSHUA REA
3	DAN COHEN	DON SAMUELS	JAMES EVERETT
3	DAN COHEN	DON SAMUELS	DOUG MANN
3	DAN COHEN	DON SAMUELS	DAN COHEN
3	DAN COHEN	DAN COHEN	undervote
3	DAN COHEN	CHRISTOPHER CLARK	CAM WINTON
3	DAN COHEN	CAPTAIN JACK SPARROW	undervote
3	DAN COHEN	CAPTAIN JACK SPARROW	NEAL BAXTER
3	DAN COHEN	CAPTAIN JACK SPARROW	KURTIS W. HANNA
3	DAN COHEN	CAM WINTON	RAHN V. WORKCUFF
3	DAN COHEN	CAM WINTON	JOHN LESLIE HARTWIG
3	DAN COHEN	CAM WINTON	DAN COHEN
3	DAN COHEN	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN
3	DAN COHEN	BOB FINE	MARK V ANDERSON
3	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	CHRISTOPHER CLARK
3	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER ROBIN ZIMMERMAN
3	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	DAN COHEN
3	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	CAPTAIN JACK SPARROW
3	CHRISTOPHER CLARK	OLE SAVIOR	undervote
3	CHRISTOPHER CLARK	OLE SAVIOR	KURTIS W. HANNA
3	CHRISTOPHER CLARK	DAN COHEN	CAM WINTON
3	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA
3	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN
3	CHRISTOPHER CLARK	CHRISTOPHER CLARK	CHRISTOPHER CLARK
3	CHRISTOPHER CLARK	CAM WINTON	KURTIS W. HANNA
3	CAPTAIN JACK SPARROW	TONY LANE	BETSY HODGES
3	CAPTAIN JACK SPARROW	STEPHANIE WOODRUFF	BETSY HODGES
3	CAPTAIN JACK SPARROW	MARK ANDREW	DOUG MANN
3	CAPTAIN JACK SPARROW	DOUG MANN	DON SAMUELS
3	CAPTAIN JACK SPARROW	CAM WINTON	DAN COHEN
3	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""	"BOB ""AGAIN"" CARNEY JR"
3	CAM WINTON	STEPHANIE WOODRUFF	TROY BENJEGERDES
3	CAM WINTON	STEPHANIE WOODRUFF	DOUG MANN
3	CAM WINTON	OLE SAVIOR	STEPHANIE WOODRUFF
3	CAM WINTON	OLE SAVIOR	JACKIE CHERRYHOMES
3	CAM WINTON	OLE SAVIOR	DOUG MANN
3	CAM WINTON	OLE SAVIOR	"BOB ""AGAIN"" CARNEY JR"
3	CAM WINTON	NEAL BAXTER	MARK V ANDERSON
3	CAM WINTON	MERRILL ANDERSON	MARK V ANDERSON
3	CAM WINTON	MARK V ANDERSON	STEPHANIE WOODRUFF
3	CAM WINTON	MARK V ANDERSON	EDMUND BERNARD BRUYERE
3	CAM WINTON	MARK ANDREW	NEAL BAXTER
3	CAM WINTON	MARK ANDREW	JOHN LESLIE HARTWIG
3	CAM WINTON	MARK ANDREW	GREGG A. IVERSON
3	CAM WINTON	KURTIS W. HANNA	undervote
3	CAM WINTON	KURTIS W. HANNA	JOHN LESLIE HARTWIG
3	CAM WINTON	KURTIS W. HANNA	DAN COHEN
3	CAM WINTON	KURTIS W. HANNA	BETSY HODGES
3	CAM WINTON	JOSHUA REA	MARK V ANDERSON
3	CAM WINTON	JOHN LESLIE HARTWIG	CHRISTOPHER ROBIN ZIMMERMAN
3	CAM WINTON	JOHN LESLIE HARTWIG	CHRISTOPHER CLARK
3	CAM WINTON	JOHN LESLIE HARTWIG	CAPTAIN JACK SPARROW
3	CAM WINTON	JACKIE CHERRYHOMES	NEAL BAXTER
3	CAM WINTON	JACKIE CHERRYHOMES	MARK V ANDERSON
3	CAM WINTON	DAN COHEN	TONY LANE
3	CAM WINTON	DAN COHEN	DAN COHEN
3	CAM WINTON	DAN COHEN	BILL KAHN
3	CAM WINTON	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"
3	CAM WINTON	CYD GORMAN	MARK V ANDERSON
3	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	UWI
3	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	RAHN V. WORKCUFF
3	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS
3	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON
3	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	BETSY HODGES
3	CAM WINTON	CHRISTOPHER CLARK	UWI
3	CAM WINTON	CAPTAIN JACK SPARROW	MIKE GOULD
3	CAM WINTON	CAPTAIN JACK SPARROW	MARK ANDREW
3	CAM WINTON	CAPTAIN JACK SPARROW	CAPTAIN JACK SPARROW
3	CAM WINTON	CAM WINTON	MARK ANDREW
3	CAM WINTON	BOB FINE	NEAL BAXTER
3	CAM WINTON	BOB FINE	JOHN LESLIE HARTWIG
3	CAM WINTON	BOB FINE	"BOB ""AGAIN"" CARNEY JR"
3	CAM WINTON	BETSY HODGES	KURTIS W. HANNA
3	CAM WINTON	BETSY HODGES	JOSHUA REA
3	CAM WINTON	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
3	CAM WINTON	ALICIA K. BENNETT	MIKE GOULD
3	BOB FINE	OLE SAVIOR	JOHN LESLIE HARTWIG
3	BOB FINE	OLE SAVIOR	DAN COHEN
3	BOB FINE	OLE SAVIOR	CAM WINTON
3	BOB FINE	MIKE GOULD	MARK ANDREW
3	BOB FINE	MIKE GOULD	BETSY HODGES
3	BOB FINE	MARK V ANDERSON	MARK ANDREW
3	BOB FINE	MARK V ANDERSON	JACKIE CHERRYHOMES
3	BOB FINE	MARK ANDREW	UWI
3	BOB FINE	MARK ANDREW	JEFFREY ALAN WAGNER
3	BOB FINE	JAMES EVERETT	DON SAMUELS
3	BOB FINE	JAMES EVERETT	BETSY HODGES
3	BOB FINE	JACKIE CHERRYHOMES	MIKE GOULD
3	BOB FINE	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
3	BOB FINE	JACKIE CHERRYHOMES	CHRISTOPHER ROBIN ZIMMERMAN
3	BOB FINE	JACKIE CHERRYHOMES	ALICIA K. BENNETT
3	BOB FINE	GREGG A. IVERSON	MARK ANDREW
3	BOB FINE	DOUG MANN	STEPHANIE WOODRUFF
3	BOB FINE	DAN COHEN	DOUG MANN
3	BOB FINE	DAN COHEN	CAPTAIN JACK SPARROW
3	BOB FINE	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON
3	BOB FINE	CHRISTOPHER CLARK	KURTIS W. HANNA
3	BOB FINE	CAPTAIN JACK SPARROW	undervote
3	BOB FINE	CAM WINTON	JOHN LESLIE HARTWIG
3	BOB FINE	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN
3	BOB FINE	BETSY HODGES	JAMES EVERETT
3	BOB FINE	BETSY HODGES	ALICIA K. BENNETT
3	BOB FINE	ALICIA K. BENNETT	JACKIE CHERRYHOMES
3	BETSY HODGES	undervote	DOUG MANN
3	BETSY HODGES	UWI	DON SAMUELS
3	BETSY HODGES	TROY BENJEGERDES	MIKE GOULD
3	BETSY HODGES	TONY LANE	undervote
3	BETSY HODGES	TONY LANE	TROY BENJEGERDES
3	BETSY HODGES	TONY LANE	JOHN CHARLES WILSON
3	BETSY HODGES	TONY LANE	DON SAMUELS
3	BETSY HODGES	TONY LANE	CAM WINTON
3	BETSY HODGES	STEPHANIE WOODRUFF	CHRISTOPHER CLARK
3	BETSY HODGES	RAHN V. WORKCUFF	DON SAMUELS
3	BETSY HODGES	OLE SAVIOR	undervote
3	BETSY HODGES	NEAL BAXTER	MARK ANDREW
3	BETSY HODGES	NEAL BAXTER	DOUG MANN
3	BETSY HODGES	NEAL BAXTER	CAM WINTON
3	BETSY HODGES	MIKE GOULD	JACKIE CHERRYHOMES
3	BETSY HODGES	MARK V ANDERSON	GREGG A. IVERSON
3	BETSY HODGES	MARK ANDREW	RAHN V. WORKCUFF
3	BETSY HODGES	KURTIS W. HANNA	MIKE GOULD
3	BETSY HODGES	KURTIS W. HANNA	JAMES EVERETT
3	BETSY HODGES	JOSHUA REA	TROY BENJEGERDES
3	BETSY HODGES	JOSHUA REA	STEPHANIE WOODRUFF
3	BETSY HODGES	JEFFREY ALAN WAGNER	DON SAMUELS
3	BETSY HODGES	JAYMIE KELLY	CAM WINTON
3	BETSY HODGES	JACKIE CHERRYHOMES	CYD GORMAN
3	BETSY HODGES	JACKIE CHERRYHOMES	BETSY HODGES
3	BETSY HODGES	JACKIE CHERRYHOMES	"BOB ""AGAIN"" CARNEY JR"
3	BETSY HODGES	JACKIE CHERRYHOMES	"ABDUL M RAHAMAN ""THE ROCK"""
3	BETSY HODGES	GREGG A. IVERSON	undervote
3	BETSY HODGES	GREGG A. IVERSON	JACKIE CHERRYHOMES
3	BETSY HODGES	GREGG A. IVERSON	ALICIA K. BENNETT
3	BETSY HODGES	EDMUND BERNARD BRUYERE	CAM WINTON
3	BETSY HODGES	DOUG MANN	JOSHUA REA
3	BETSY HODGES	DON SAMUELS	JOHN LESLIE HARTWIG
3	BETSY HODGES	DAN COHEN	TROY BENJEGERDES
3	BETSY HODGES	DAN COHEN	NEAL BAXTER
3	BETSY HODGES	DAN COHEN	KURTIS W. HANNA
3	BETSY HODGES	DAN COHEN	JAYMIE KELLY
3	BETSY HODGES	DAN COHEN	GREGG A. IVERSON
3	BETSY HODGES	CHRISTOPHER ROBIN ZIMMERMAN	MARK ANDREW
3	BETSY HODGES	CHRISTOPHER CLARK	JACKIE CHERRYHOMES
3	BETSY HODGES	CHRISTOPHER CLARK	DON SAMUELS
3	BETSY HODGES	CAPTAIN JACK SPARROW	JAMES EVERETT
3	BETSY HODGES	CAM WINTON	OLE SAVIOR
3	BETSY HODGES	CAM WINTON	JOHN LESLIE HARTWIG
3	BETSY HODGES	CAM WINTON	JAYMIE KELLY
3	BETSY HODGES	BOB FINE	OLE SAVIOR
3	BETSY HODGES	BOB FINE	KURTIS W. HANNA
3	BETSY HODGES	BOB FINE	BOB FINE
3	BETSY HODGES	BOB FINE	"BOB ""AGAIN"" CARNEY JR"
3	BETSY HODGES	BILL KAHN	undervote
3	BETSY HODGES	BETSY HODGES	MARK V ANDERSON
3	BETSY HODGES	BETSY HODGES	CAPTAIN JACK SPARROW
3	BETSY HODGES	ALICIA K. BENNETT	TONY LANE
3	BETSY HODGES	ALICIA K. BENNETT	JAYMIE KELLY
3	BETSY HODGES	ALICIA K. BENNETT	"ABDUL M RAHAMAN ""THE ROCK"""
3	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""	JEFFREY ALAN WAGNER
3	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""	DOUG MANN
3	ALICIA K. BENNETT	STEPHANIE WOODRUFF	MARK ANDREW
3	ALICIA K. BENNETT	MARK V ANDERSON	undervote
3	ALICIA K. BENNETT	MARK ANDREW	STEPHANIE WOODRUFF
3	ALICIA K. BENNETT	MARK ANDREW	BOB FINE
3	ALICIA K. BENNETT	MARK ANDREW	BETSY HODGES
3	ALICIA K. BENNETT	JACKIE CHERRYHOMES	BETSY HODGES
3	ALICIA K. BENNETT	DOUG MANN	MARK ANDREW
3	ALICIA K. BENNETT	CAM WINTON	BETSY HODGES
3	ALICIA K. BENNETT	BETSY HODGES	CAPTAIN JACK SPARROW
3	ALICIA K. BENNETT	BETSY HODGES	BOB FINE
3	"ABDUL M RAHAMAN ""THE ROCK"""	undervote	"ABDUL M RAHAMAN ""THE ROCK"""
3	"ABDUL M RAHAMAN ""THE ROCK"""	BILL KAHN	NEAL BAXTER
3	"ABDUL M RAHAMAN ""THE ROCK"""	BETSY HODGES	DON SAMUELS
2	undervote	undervote	DAN COHEN
2	undervote	undervote	CHRISTOPHER ROBIN ZIMMERMAN
2	undervote	overvote	OLE SAVIOR
2	undervote	OLE SAVIOR	undervote
2	undervote	MARK ANDREW	overvote
2	undervote	MARK ANDREW	JACKIE CHERRYHOMES
2	undervote	JACKIE CHERRYHOMES	overvote
2	undervote	DON SAMUELS	JACKIE CHERRYHOMES
2	undervote	DON SAMUELS	DON SAMUELS
2	undervote	CAM WINTON	MARK ANDREW
2	undervote	CAM WINTON	CAM WINTON
2	undervote	BETSY HODGES	DON SAMUELS
2	undervote	"ABDUL M RAHAMAN ""THE ROCK"""	MARK ANDREW
2	overvote	OLE SAVIOR	undervote
2	overvote	MARK ANDREW	DON SAMUELS
2	overvote	DON SAMUELS	DON SAMUELS
2	overvote	BOB FINE	BETSY HODGES
2	overvote	BETSY HODGES	JACKIE CHERRYHOMES
2	UWI	MIKE GOULD	ALICIA K. BENNETT
2	UWI	DOUG MANN	BETSY HODGES
2	UWI	CAPTAIN JACK SPARROW	KURTIS W. HANNA
2	UWI	CAM WINTON	UWI
2	UWI	CAM WINTON	CHRISTOPHER CLARK
2	UWI	BETSY HODGES	UWI
2	UWI	BETSY HODGES	DAN COHEN
2	TROY BENJEGERDES	TONY LANE	undervote
2	TROY BENJEGERDES	STEPHANIE WOODRUFF	BETSY HODGES
2	TROY BENJEGERDES	MARK V ANDERSON	DAN COHEN
2	TROY BENJEGERDES	MARK ANDREW	DON SAMUELS
2	TROY BENJEGERDES	JAYMIE KELLY	CAM WINTON
2	TROY BENJEGERDES	JAMES EVERETT	BETSY HODGES
2	TROY BENJEGERDES	DON SAMUELS	MARK ANDREW
2	TROY BENJEGERDES	CAM WINTON	DAN COHEN
2	TROY BENJEGERDES	BETSY HODGES	STEPHANIE WOODRUFF
2	TONY LANE	TROY BENJEGERDES	DOUG MANN
2	TONY LANE	TROY BENJEGERDES	DON SAMUELS
2	TONY LANE	MARK ANDREW	undervote
2	TONY LANE	KURTIS W. HANNA	DON SAMUELS
2	TONY LANE	JOHN CHARLES WILSON	MARK ANDREW
2	TONY LANE	JOHN CHARLES WILSON	DOUG MANN
2	TONY LANE	JAYMIE KELLY	DOUG MANN
2	TONY LANE	JAMES EVERETT	MARK ANDREW
2	TONY LANE	JAMES EVERETT	BOB FINE
2	TONY LANE	JAMES EVERETT	BETSY HODGES
2	TONY LANE	DOUG MANN	JOSHUA REA
2	TONY LANE	DOUG MANN	CAPTAIN JACK SPARROW
2	TONY LANE	DON SAMUELS	MARK ANDREW
2	TONY LANE	DAN COHEN	BETSY HODGES
2	TONY LANE	CYD GORMAN	BETSY HODGES
2	TONY LANE	CAPTAIN JACK SPARROW	BETSY HODGES
2	TONY LANE	CAM WINTON	MIKE GOULD
2	TONY LANE	BETSY HODGES	TROY BENJEGERDES
2	TONY LANE	BETSY HODGES	BOB FINE
2	TONY LANE	ALICIA K. BENNETT	BETSY HODGES
2	STEPHANIE WOODRUFF	TROY BENJEGERDES	JAYMIE KELLY
2	STEPHANIE WOODRUFF	TROY BENJEGERDES	JAMES EVERETT
2	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF	undervote
2	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF	MARK ANDREW
2	STEPHANIE WOODRUFF	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN
2	STEPHANIE WOODRUFF	MIKE GOULD	undervote
2	STEPHANIE WOODRUFF	MARK V ANDERSON	JACKIE CHERRYHOMES
2	STEPHANIE WOODRUFF	MARK V ANDERSON	CAM WINTON
2	STEPHANIE WOODRUFF	MARK V ANDERSON	BETSY HODGES
2	STEPHANIE WOODRUFF	MARK ANDREW	TONY LANE
2	STEPHANIE WOODRUFF	MARK ANDREW	DOUG MANN
2	STEPHANIE WOODRUFF	KURTIS W. HANNA	JAYMIE KELLY
2	STEPHANIE WOODRUFF	JAMES EVERETT	MIKE GOULD
2	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES	undervote
2	STEPHANIE WOODRUFF	DOUG MANN	undervote
2	STEPHANIE WOODRUFF	DOUG MANN	BILL KAHN
2	STEPHANIE WOODRUFF	DON SAMUELS	DAN COHEN
2	STEPHANIE WOODRUFF	DON SAMUELS	CAPTAIN JACK SPARROW
2	STEPHANIE WOODRUFF	DON SAMUELS	ALICIA K. BENNETT
2	STEPHANIE WOODRUFF	DAN COHEN	JACKIE CHERRYHOMES
2	STEPHANIE WOODRUFF	DAN COHEN	GREGG A. IVERSON
2	STEPHANIE WOODRUFF	CAM WINTON	OLE SAVIOR
2	STEPHANIE WOODRUFF	CAM WINTON	KURTIS W. HANNA
2	STEPHANIE WOODRUFF	CAM WINTON	DOUG MANN
2	STEPHANIE WOODRUFF	CAM WINTON	ALICIA K. BENNETT
2	STEPHANIE WOODRUFF	BOB FINE	JEFFREY ALAN WAGNER
2	STEPHANIE WOODRUFF	BOB FINE	DAN COHEN
2	STEPHANIE WOODRUFF	BOB FINE	ALICIA K. BENNETT
2	STEPHANIE WOODRUFF	BETSY HODGES	STEPHANIE WOODRUFF
2	STEPHANIE WOODRUFF	BETSY HODGES	MERRILL ANDERSON
2	STEPHANIE WOODRUFF	BETSY HODGES	KURTIS W. HANNA
2	STEPHANIE WOODRUFF	BETSY HODGES	JEFFREY ALAN WAGNER
2	STEPHANIE WOODRUFF	BETSY HODGES	JAYMIE KELLY
2	STEPHANIE WOODRUFF	BETSY HODGES	GREGG A. IVERSON
2	STEPHANIE WOODRUFF	ALICIA K. BENNETT	TONY LANE
2	STEPHANIE WOODRUFF	ALICIA K. BENNETT	MIKE GOULD
2	STEPHANIE WOODRUFF	"ABDUL M RAHAMAN ""THE ROCK"""	BETSY HODGES
2	RAHN V. WORKCUFF	NEAL BAXTER	JOHN LESLIE HARTWIG
2	RAHN V. WORKCUFF	DON SAMUELS	BETSY HODGES
2	RAHN V. WORKCUFF	CAM WINTON	NEAL BAXTER
2	RAHN V. WORKCUFF	BETSY HODGES	MARK ANDREW
2	OLE SAVIOR	UWI	undervote
2	OLE SAVIOR	RAHN V. WORKCUFF	CAM WINTON
2	OLE SAVIOR	RAHN V. WORKCUFF	BOB FINE
2	OLE SAVIOR	NEAL BAXTER	MARK ANDREW
2	OLE SAVIOR	NEAL BAXTER	DOUG MANN
2	OLE SAVIOR	NEAL BAXTER	DAN COHEN
2	OLE SAVIOR	NEAL BAXTER	CHRISTOPHER CLARK
2	OLE SAVIOR	MARK V ANDERSON	NEAL BAXTER
2	OLE SAVIOR	MARK V ANDERSON	CAPTAIN JACK SPARROW
2	OLE SAVIOR	MARK ANDREW	JACKIE CHERRYHOMES
2	OLE SAVIOR	MARK ANDREW	BETSY HODGES
2	OLE SAVIOR	KURTIS W. HANNA	undervote
2	OLE SAVIOR	JOSHUA REA	MARK V ANDERSON
2	OLE SAVIOR	JOHN LESLIE HARTWIG	KURTIS W. HANNA
2	OLE SAVIOR	JOHN LESLIE HARTWIG	CYD GORMAN
2	OLE SAVIOR	JAMES EVERETT	DOUG MANN
2	OLE SAVIOR	JACKIE CHERRYHOMES	MARK ANDREW
2	OLE SAVIOR	DOUG MANN	BOB FINE
2	OLE SAVIOR	DON SAMUELS	undervote
2	OLE SAVIOR	DON SAMUELS	NEAL BAXTER
2	OLE SAVIOR	DON SAMUELS	DAN COHEN
2	OLE SAVIOR	DON SAMUELS	BETSY HODGES
2	OLE SAVIOR	DAN COHEN	NEAL BAXTER
2	OLE SAVIOR	DAN COHEN	DOUG MANN
2	OLE SAVIOR	DAN COHEN	DON SAMUELS
2	OLE SAVIOR	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN
2	OLE SAVIOR	DAN COHEN	BOB FINE
2	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN	undervote
2	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN	RAHN V. WORKCUFF
2	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER
2	OLE SAVIOR	CHRISTOPHER CLARK	undervote
2	OLE SAVIOR	CHRISTOPHER CLARK	JOHN LESLIE HARTWIG
2	OLE SAVIOR	CAPTAIN JACK SPARROW	NEAL BAXTER
2	OLE SAVIOR	CAPTAIN JACK SPARROW	DAN COHEN
2	OLE SAVIOR	CAM WINTON	OLE SAVIOR
2	OLE SAVIOR	CAM WINTON	MARK V ANDERSON
2	OLE SAVIOR	CAM WINTON	JAYMIE KELLY
2	OLE SAVIOR	CAM WINTON	BETSY HODGES
2	OLE SAVIOR	BOB FINE	CAM WINTON
2	OLE SAVIOR	BILL KAHN	DAN COHEN
2	OLE SAVIOR	BETSY HODGES	JACKIE CHERRYHOMES
2	NEAL BAXTER	NEAL BAXTER	NEAL BAXTER
2	NEAL BAXTER	MARK ANDREW	JEFFREY ALAN WAGNER
2	NEAL BAXTER	MARK ANDREW	BETSY HODGES
2	NEAL BAXTER	JAYMIE KELLY	BETSY HODGES
2	NEAL BAXTER	CHRISTOPHER CLARK	undervote
2	NEAL BAXTER	CAPTAIN JACK SPARROW	BETSY HODGES
2	NEAL BAXTER	CAM WINTON	MARK ANDREW
2	NEAL BAXTER	CAM WINTON	DON SAMUELS
2	NEAL BAXTER	BOB FINE	BETSY HODGES
2	NEAL BAXTER	BETSY HODGES	MARK V ANDERSON
2	NEAL BAXTER	BETSY HODGES	JACKIE CHERRYHOMES
2	NEAL BAXTER	BETSY HODGES	BOB FINE
2	MIKE GOULD	STEPHANIE WOODRUFF	BOB FINE
2	MIKE GOULD	STEPHANIE WOODRUFF	BETSY HODGES
2	MIKE GOULD	STEPHANIE WOODRUFF	ALICIA K. BENNETT
2	MIKE GOULD	MARK ANDREW	MIKE GOULD
2	MIKE GOULD	MARK ANDREW	JEFFREY ALAN WAGNER
2	MIKE GOULD	MARK ANDREW	JACKIE CHERRYHOMES
2	MIKE GOULD	MARK ANDREW	BETSY HODGES
2	MIKE GOULD	JEFFREY ALAN WAGNER	TONY LANE
2	MIKE GOULD	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
2	MIKE GOULD	DON SAMUELS	BOB FINE
2	MIKE GOULD	DAN COHEN	MARK ANDREW
2	MIKE GOULD	CHRISTOPHER CLARK	undervote
